Address,City,State,Zip,Latitude,Longitude
3734 W. Cortland St.,Chicago,IL,60647,41.91749465,-87.70826581
188 W. Randolph St.,Chicago,IL,60601,41.91720928,-87.71368201
2014 S. Racine Ave.,Chicago,IL,60608,41.91716471,-87.71338585
963 W Cullerton St.,Chicago,IL,60608,41.91552353,-87.72061073
1714 W. 19th St.,Chicago,IL,60608,41.88457966,-87.63375683
2021 S. Morgan St.,Chicago,IL,60608,41.85469028,-87.65647821
1712 W. 17th St.,Chicago,IL,60608,41.8551748,-87.65062753
2015 S. Morgan St.,Chicago,IL,60608,41.85603287,-87.66936057
2014 S. Racine Ave.,Chicago,IL,60608,41.85461476,-87.65132209
967 W. 19th St.,Chicago,IL,60608,41.85480194,-87.65132697
6650 W. Belden Ave.,Chicago,IL,60707,41.85469028,-87.65647821
"6602,6614 W. Diversey Ave.",Chicago,IL,60707,41.85469028,-87.65647821
1311 N. Halsted St.,Chicago,IL,60610,41.85656724,-87.65074652
544 W. Oak St.,Chicago,IL,60610,41.92130822,-87.79209096
1311 N. Halsted St.,Chicago,IL,60642,41.90543825,-87.64798274
1333 N. Kingsbury St.,Chicago,IL,60622,41.90360901,-87.6430754
1400 S. Indiana Ave.,Chicago,IL,60605,41.90052524,-87.64295528
1801 S. Wabash St.,Chicago,IL,60616,41.90543825,-87.64798274
2030 S. State St.,Chicago,IL,60616,41.905731,-87.64964597
30 W. Cermak Road,Chicago,IL,60616,41.86402666,-87.62262043
2031 S. Clark St.,Chicago,IL,60616,41.85779292,-87.62546237
30 W. Cermak Road,Chicago,IL,60616,41.85453503,-87.62726774
300 E. 26th Street,Chicago,IL,60616,41.85301339,-87.62823221
2237 W. Maypole Ave.,Chicago,IL,60612,41.88380799,-87.68281702
110 N. Wood St.,Chicago,IL,60612,41.8544114,-87.62999188
1939 W. Lake St.,Chicago,IL,60612,41.8849038,-87.67585077
1222 W. Roosevelt Road,Chicago,IL,60607,41.85301339,-87.62823221
1401 W. Roosevelt Road,Chicago,IL,60608,41.88355426,-87.67195337
1314 W. 15th St.,Chicago,IL,60608,41.8457959,-87.62040337
1355 S. Blue Island Ave.,Chicago,IL,60608,41.86709035,-87.65767338
216 S. Hoyne Ave.,Chicago,IL,60612,41.86680605,-87.66169184
50 N. Hoyne Ave.,Chicago,IL,60612,41.86166987,-87.65963108
2425 W. Adams St.,Chicago,IL,60612,41.8639941,-87.65575239
1519 W. Warren Blvd.,Chicago,IL,60607,41.87812559,-87.67915413
3440 W. Roosevelt Road,Chicago,IL,60624,41.80531018,-87.68362994
3836 W. Cermak Road,Chicago,IL,60623,41.7943937,-87.64724467
1859 S. Pulaski Ave.,Chicago,IL,60623,41.95414467,-87.68697505
1129 S. Sacramento Ave.,Chicago,IL,60612,41.86643977,-87.71218086
1859 S. Pulaski Road,Chicago,IL,60623,41.85170274,-87.72132688
1331 S. Independence Blvd.,Chicago,IL,60623,41.85533972,-87.72471008
3200 block of West Douglas Blvd.,Chicago,IL,60613,41.86736961,-87.70066623
1550 S. Hamlin Ave.,Chicago,IL,60623,41.85533972,-87.72471008
1251 S. Sawyer Ave.,Chicago,IL,60623,41.86341092,-87.71929168
927 S. Independence Blvd.,Chicago,IL,60624,41.85923592,-87.7202403
1129 S. Sacramento Ave.,Chicago,IL,60612,41.86482901,-87.70669366
3128 W. Douglas Blvd.,Chicago,IL,60623,41.86604003,-87.72672414
Ogden/California/Talman,Chicago,IL,60608,41.86921476,-87.71947509
5801 N. Pulaski Road,Chicago,IL,60646,41.86736961,-87.70066623
5801 N. Pulaski Road,Chicago,IL,60646,41.86308761,-87.70428319
37th/Ellis,Chicago,IL,60653,41.98593151,-87.72836921
37th/Cottage,Chicago,IL,60653,41.81978129,-87.59992527
37th/Langley,Chicago,IL,60653,41.82631731,-87.60794545
3755 S. Cottage Grove Ave.,Chicago,IL,60653,41.98593151,-87.72836921
6928 N. Wayne Ave.,Chicago,IL,60626,41.82637057,-87.60828676
7450 N. Rogers Ave.,Chicago,IL,60626,41.65793125,-87.6159174
6928 N. Wayne Ave.,Chicago,IL,60626,42.00577097,-87.66511109
11045 S. Wentworth Ave.,Chicago,IL,60628,42.00757377,-87.66517114
